"Round","Date","Home","Away","Season","Home_Score","Away_Score"
"Round 10","10.12. 17:35","Wellington Phoenix","Central Coast Mariners","17","3 "," 0"
"Round 10","09.12. 19:50","Sydney FC ","Melbourne City","17","1 "," 1"
"Round 9","04.12. 19:00","Adelaide United","Wellington Phoenix","17","2 "," 0"
"Round 9","04.12. 17:00","Newcastle Jets","Sydney FC","17","0 "," 2"
"Round 9","03.12. 19:50","Melbourne City","Brisbane Roar","17","1 "," 1"
"Round 9","03.12. 17:35","Central Coast Mariners","WS Wanderers ","17","1 "," 4"
"Round 9","02.12. 19:50","Melbourne Victory","Perth Glory","17","1 "," 1"
"Round 8","27.11. 17:00","Melbourne City","Wellington Phoenix","17","2 "," 1"
"Round 8","26.11. 19:50","Sydney FC","Adelaide United","17","0 "," 0"
"Round 8","26.11. 17:35","Melbourne Victory","Newcastle Jets","17","2 "," 0"
"Round 8","25.11. 19:50","WS Wanderers","Brisbane Roar","17","1 "," 1"
"Round 8","24.11. 19:50","Central Coast Mariners","Perth Glory","17","2 "," 0"
"Round 7","20.11. 17:00","Newcastle Jets","Central Coast Mariners ","17","1 "," 1"
"Round 7","19.11. 19:50","Brisbane Roar","Sydney FC","17","1 "," 1"
"Round 7","18.11. 22:00","Perth Glory","Adelaide United ","17","3 "," 1"
"Round 7","18.11. 19:50","WS Wanderers","Melbourne City","17","1 "," 1"
"Round 6","13.11. 17:00","Sydney FC","Perth Glory","17","4 "," 1"
"Round 6","12.11. 19:50","Melbourne Victory","WS Wanderers","17","3 "," 0"
"Round 6","12.11. 17:35","Central Coast Mariners","Wellington Phoenix","17","0 "," 2"
"Round 6","11.11. 19:50","Adelaide United","Brisbane Roar","17","1 "," 1"
"Round 6","10.11. 19:50","Melbourne City","Newcastle Jets","17","2 "," 1"
"Round 5","06.11. 19:00","Perth Glory","WS Wanderers","17","2 "," 2"
"Round 5","06.11. 17:00","Adelaide United","Central Coast Mariners","17","1 "," 2"
"Round 5","05.11. 19:50","Sydney FC","Melbourne Victory","17","2 "," 1"
"Round 5","05.11. 17:35","Wellington Phoenix","Newcastle Jets","17","2 "," 0"
"Round 5","04.11. 19:50","Brisbane Roar","Melbourne City","17","1 "," 0"
"Round 4","31.10. 19:50","Melbourne Victory","Wellington Phoenix ","17","6 "," 1"
"Round 4","30.10. 17:00","Brisbane Roar","Perth Glory","17","2 "," 1"
"Round 4","29.10. 19:50","WS Wanderers","Central Coast Mariners","17","1 "," 1"
"Round 4","29.10. 17:35","Newcastle Jets","Sydney FC","17","0 "," 2"
"Round 4","28.10. 19:50","Melbourne City","Adelaide United","17","2 "," 1"
"Round 3","23.10. 19:00","WS Wanderers","Newcastle Jets","17","2 "," 2"
"Round 3","23.10. 17:00","Wellington Phoenix","Sydney FC","17","0 "," 1"
"Round 3","22.10. 19:50","Adelaide United","Melbourne Victory","17","1 "," 2"
"Round 3","22.10. 17:35","Central Coast Mariners","Brisbane Roar","17","0 "," 1"
"Round 3","21.10. 19:50","Melbourne City","Perth Glory","17","2 "," 3"
"Round 2","16.10. 19:00","Perth Glory","Wellington Phoenix","17","2 "," 0"
"Round 2","16.10. 17:00","Newcastle Jets","Brisbane Roar","17","4 "," 0"
"Round 2","15.10. 19:50","Melbourne Victory","Melbourne City","17","1 "," 4"
"Round 2","15.10. 17:35","Sydney FC","Central Coast Mariners","17","4 "," 0"
"Round 2","14.10. 19:50","Adelaide United","WS Wanderers","17","1 "," 2"
"Round 1","09.10. 17:00","Newcastle Jets","Adelaide United","17","1 "," 1"
"Round 1","08.10. 22:00","Perth Glory","Central Coast Mariners","17","3 "," 3"
"Round 1","08.10. 19:50","WS Wanderers ","Sydney FC","17","0 "," 4"
"Round 1","08.10. 17:35","Wellington Phoenix","Melbourne City ","17","0 "," 1"
"Round 1","07.10. 19:50","Brisbane Roar ","Melbourne Victory","17","1 "," 1"
