"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"180","Adelaide United","Wellington Phoenix","Hyundai A-League R9","Coopers Stadium",8539,"16/17","2016-12-04","9"
"181","Sydney FC","Melbourne City","Hyundai A-League R10","ANZ Stadium",14688,"16/17","2016-12-09","10"
"182","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R10","FMG Stadium",5234,"16/17","2016-12-10","10"
"183","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R10","ANZ Stadium",16231,"16/17","2016-12-10","10"
"184","Perth Glory","Newcastle Jets","Hyundai A-League R10","HBF Park",9202,"16/17","2016-12-10","10"
"185","Brisbane Roar","Adelaide United","Hyundai A-League R10","Suncorp Stadium",15605,"16/17","2016-12-11","10"
"186","Newcastle Jets","Adelaide United","Hyundai A-League R11","McDonald Jones Stadium",5642,"16/17","2016-12-16","11"
"187","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R11","Mt Smart Stadium",5702,"16/17","2016-12-17","11"
"188","Melbourne City","Melbourne Victory","Hyundai A-League R11","AAMI Park",24706,"16/17","2016-12-17","11"
"189","Perth Glory","Sydney FC","Hyundai A-League R11","HBF Park",9119,"16/17","2016-12-17","11"
"190","Central Coast Mariners","Brisbane Roar","Hyundai A-League R11","Central Coast Stadium",6063,"16/17","2016-12-18","11"
"191","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R12","Suncorp Stadium",13110,"16/17","2016-12-23","12"
"192","Newcastle Jets","Wellington Phoenix","Hyundai A-League R12","McDonald Jones Stadium",8451,"16/17","2016-12-26","12"
"193","Adelaide United","Sydney FC","Hyundai A-League R12","Coopers Stadium",11805,"16/17","2016-12-26","12"
"194","Melbourne City","Perth Glory","Hyundai A-League R12","AAMI Park",11269,"16/17","2016-12-27","12"
"195","Melbourne Victory","Central Coast Mariners","Hyundai A-League R12","AAMI Park",20491,"16/17","2016-12-28","12"
"196","Sydney FC","Brisbane Roar","Hyundai A-League R13","Allianz Stadium",16510,"16/17","2016-12-30","13"
"197","Central Coast Mariners","Melbourne City","Hyundai A-League R13","Central Coast Stadium",11184,"16/17","2016-12-31","13"
"198","Western Sydney Wanderers","Perth Glory","Hyundai A-League R13","ANZ Stadium",12203,"16/17","2017-01-01","13"
"199","Wellington Phoenix","Adelaide United","Hyundai A-League R13","Westpac Stadium",5548,"16/17","2017-01-01","13"
"200","Melbourne Victory","Newcastle Jets","Hyundai A-League R13","GMHBA Stadium",14081,"16/17","2017-01-02","13"
"201","Perth Glory","Wellington Phoenix","Hyundai A-League R14","HBF Park",9210,"16/17","2017-01-05","14"
"202","Melbourne City","Western Sydney Wanderers","Hyundai A-League R14","AAMI Park",10731,"16/17","2017-01-06","14"
"203","Brisbane Roar","Newcastle Jets","Hyundai A-League R14","Suncorp Stadium",14470,"16/17","2017-01-07","14"
"204","Adelaide United","Melbourne Victory","Hyundai A-League R14","Coopers Stadium",10036,"16/17","2017-01-07","14"
"205","Central Coast Mariners","Sydney FC","Hyundai A-League R14","Central Coast Stadium",11398,"16/17","2017-01-08","14"
"206","Adelaide United","Melbourne City","Hyundai A-League R15","Coopers Stadium",10607,"16/17","2017-01-12","15"
"207","Melbourne Victory","Brisbane Roar","Hyundai A-League R15","AAMI Park",21103,"16/17","2017-01-13","15"
"208","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R15","Westpac Stadium",6061,"16/17","2017-01-14","15"
"209","Sydney FC","Western Sydney Wanderers","Hyundai A-League R15","Allianz Stadium",40143,"16/17","2017-01-14","15"
"210","Newcastle Jets","Perth Glory","Hyundai A-League R15","McDonald Jones Stadium",9174,"16/17","2017-01-15","15"
"211","Melbourne City","Central Coast Mariners","Hyundai A-League R16","AAMI Park",8784,"16/17","2017-01-19","16"
"212","Sydney FC","Adelaide United","Hyundai A-League R16","Allianz Stadium",11255,"16/17","2017-01-20","16"
"213","Wellington Phoenix","Brisbane Roar","Hyundai A-League R16","Westpac Stadium",6449,"16/17","2017-01-21","16"
"214","Perth Glory","Melbourne Victory","Hyundai A-League R16","HBF Park",11271,"16/17","2017-01-21","16"
"215","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R16","Campbelltown Stadium",9477,"16/17","2017-01-22","16"
"216","Melbourne Victory","Sydney FC","Hyundai A-League R17","Etihad Stadium",30262,"16/17","2017-01-26","17"
"217","Newcastle Jets","Melbourne City","Hyundai A-League R17","Coffs International Stadium",7891,"16/17","2017-01-27","17"
"218","Central Coast Mariners","Perth Glory","Hyundai A-League R17","Central Coast Stadium",7205,"16/17","2017-01-28","17"
"219","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R17","Suncorp Stadium",13058,"16/17","2017-01-28","17"
"220","Adelaide United","Wellington Phoenix","Hyundai A-League R17","Coopers Stadium",8313,"16/17","2017-01-29","17"
"221","Brisbane Roar","Sydney FC","Hyundai A-League R18","Suncorp Stadium",13095,"16/17","2017-02-03","18"
"222","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R18","Yarrow Stadium",5185,"16/17","2017-02-04","18"
"223","Melbourne Victory","Melbourne City","Hyundai A-League R18","Marvel Stadium",35426,"16/17","2017-02-04","18"
"224","Perth Glory","Newcastle Jets","Hyundai A-League R18","HBF Park",12903,"16/17","2017-02-04","18"
"225","Central Coast Mariners","Adelaide United","Hyundai A-League R18","GIO Stadium",5072,"16/17","2017-02-05","18"
"226","Sydney FC","Wellington Phoenix","Hyundai A-League R19","Allianz Stadium",8380,"16/17","2017-02-09","19"
"227","Adelaide United","Perth Glory","Hyundai A-League R19","Coopers Stadium",6006,"16/17","2017-02-10","19"
"228","Newcastle Jets","Melbourne Victory","Hyundai A-League R19","McDonald Jones Stadium",6233,"16/17","2017-02-13","19"
"229","Melbourne City","Brisbane Roar","Hyundai A-League R19","AAMI Park",7914,"16/17","2017-02-11","19"
"230","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R19","Spotless Stadium",9618,"16/17","2017-02-12","19"
"231","Adelaide United","Newcastle Jets","Hyundai A-League R20","Coopers Stadium",6642,"16/17","2017-02-17","20"
"232","Wellington Phoenix","Melbourne City","Hyundai A-League R20","Westpac Stadium",6131,"16/17","2017-02-18","20"
"233","Western Sydney Wanderers","Sydney FC","Hyundai A-League R20","ANZ Stadium",44843,"16/17","2017-02-18","20"
"234","Perth Glory","Brisbane Roar","Hyundai A-League R20","HBF Park",10762,"16/17","2017-02-18","20"
"235","Central Coast Mariners","Melbourne Victory","Hyundai A-League R20","Central Coast Stadium",7013,"16/17","2017-02-19","20"
"236","Melbourne City","Sydney FC","Hyundai A-League R21","AAMI Park",10706,"16/17","2017-02-24","21"
"237","Newcastle Jets","Central Coast Mariners","Hyundai A-League R21","McDonald Jones Stadium",9423,"16/17","2017-02-26","21"
"238","Melbourne Victory","Adelaide United","Hyundai A-League R21","AAMI Park",19035,"16/17","2017-02-25","21"
"239","Perth Glory","Western Sydney Wanderers","Hyundai A-League R21","HBF Park",9789,"16/17","2017-02-25","21"
"240","Brisbane Roar","Wellington Phoenix","Hyundai A-League R21","Suncorp Stadium",10723,"16/17","2017-02-25","21"
"241","Newcastle Jets","Brisbane Roar","Hyundai A-League R22","McDonald Jones Stadium",7122,"16/17","2017-03-05","22"
"242","Wellington Phoenix","Perth Glory","Hyundai A-League R22","QBE Stadium",6285,"16/17","2017-03-04","22"
"243","Western Sydney Wanderers","Adelaide United","Hyundai A-League R22","Spotless Stadium",8965,"16/17","2017-03-04","22"
"244","Central Coast Mariners","Melbourne City","Hyundai A-League R22","Central Coast Stadium",5974,"16/17","2017-03-05","22"
"245","Sydney FC","Melbourne Victory","Hyundai A-League R22","Allianz Stadium",13310,"16/17","2017-03-03","22"
"246","Sydney FC","Central Coast Mariners","Hyundai A-League R23","Allianz Stadium",11148,"16/17","2017-03-10","23"
"247","Melbourne Victory","Perth Glory","Hyundai A-League R23","AAMI Park",16814,"16/17","2017-03-11","23"
"248","Melbourne City","Newcastle Jets","Hyundai A-League R23","AAMI Park",8949,"16/17","2017-03-18","23"
"249","Adelaide United","Brisbane Roar","Hyundai A-League R23","Coopers Stadium",7197,"16/17","2017-03-19","23"
"250","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R23","Spotless Stadium",7828,"16/17","2017-03-19","23"
"251","Western Sydney Wanderers","Melbourne City","Hyundai A-League R24","Spotless Stadium",10204,"16/17","2017-03-24","24"
"252","Central Coast Mariners","Adelaide United","Hyundai A-League R24","Central Coast Stadium",5438,"16/17","2017-03-25","24"
"253","Brisbane Roar","Melbourne Victory","Hyundai A-League R24","Suncorp Stadium",13576,"16/17","2017-03-25","24"
"254","Wellington Phoenix","Newcastle Jets","Hyundai A-League R24","Westpac Stadium",4828,"16/17","2017-03-26","24"
"255","Perth Glory","Sydney FC","Hyundai A-League R24","HBF Park",10097,"16/17","2017-03-26","24"
"256","Adelaide United","Perth Glory","Hyundai A-League R25","Coopers Stadium",7307,"16/17","2017-03-31","25"
"257","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R25","McDonald Jones Stadium",9380,"16/17","2017-04-01","25"
"258","Sydney FC","Melbourne City","Hyundai A-League R25","Allianz Stadium",15266,"16/17","2017-04-01","25"
"259","Melbourne Victory","Wellington Phoenix","Hyundai A-League R25","AAMI Park",17011,"16/17","2017-04-02","25"
"260","Brisbane Roar","Central Coast Mariners","Hyundai A-League R25","Suncorp Stadium",8113,"16/17","2017-04-02","25"
"261","Melbourne City","Adelaide United","Hyundai A-League R26","AAMI Park",9238,"16/17","2017-04-07","26"
"262","Wellington Phoenix","Sydney FC","Hyundai A-League R26","Westpac Stadium",6610,"16/17","2017-04-08","26"
"263","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R26","ANZ Stadium",16345,"16/17","2017-04-08","26"
"264","Perth Glory","Brisbane Roar","Hyundai A-League R26","HBF Park",8834,"16/17","2017-04-08","26"
"265","Central Coast Mariners","Newcastle Jets","Hyundai A-League R26","Central Coast Stadium",8073,"16/17","2017-04-09","26"
"266","Melbourne Victory","Central Coast Mariners","Hyundai A-League R27","AAMI Park",14827,"16/17","2017-04-14","27"
"267","Sydney FC","Newcastle Jets","Hyundai A-League R27","Allianz Stadium",15787,"16/17","2017-04-15","27"
"268","Adelaide United","Western Sydney Wanderers","Hyundai A-League R27","Coopers Stadium",7636,"16/17","2017-04-15","27"
"269","Brisbane Roar","Wellington Phoenix","Hyundai A-League R27","Suncorp Stadium",12098,"16/17","2017-04-16","27"
"270","Perth Glory","Melbourne City","Hyundai A-League R27","HBF Park",12621,"16/17","2017-04-16","27"
"271","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R1","Pirtek Stadium",14122,"15/16","2015-10-08","1"
"272","Adelaide United","Melbourne Victory","Hyundai A-League R1","Adelaide Oval",19079,"15/16","2015-10-09","1"
"273","Central Coast Mariners","Perth Glory","Hyundai A-League R1","Central Coast Stadium",8073,"15/16","2015-10-10","1"
"274","Sydney FC","Melbourne City","Hyundai A-League R1","Allianz Stadium",17051,"15/16","2015-10-10","1"
"275","Wellington Phoenix","Newcastle Jets","Hyundai A-League R1","Westpac Stadium",6255,"15/16","2015-10-11","1"
"276","Adelaide United","Western Sydney Wanderers","Hyundai A-League R2","Coopers Stadium",9442,"15/16","2015-10-16","2"
"277","Newcastle Jets","Sydney FC","Hyundai A-League R2","McDonald Jones Stadium",12713,"15/16","2015-10-17","2"
"278","Melbourne Victory","Melbourne City","Hyundai A-League R2","Marvel Stadium",40217,"15/16","2015-10-17","2"
"279","Brisbane Roar","Central Coast Mariners","Hyundai A-League R2","Suncorp Stadium",14471,"15/16","2015-10-18","2"
"280","Perth Glory","Wellington Phoenix","Hyundai A-League R2","HBF Park",8145,"15/16","2015-10-18","2"
"281","Wellington Phoenix","Brisbane Roar","Hyundai A-League R3","Westpac Stadium",6103,"15/16","2015-10-24","3"
"282","Sydney FC","Western Sydney Wanderers","Hyundai A-League R3","Allianz Stadium",40539,"15/16","2015-10-24","3"
"283","Melbourne City","Central Coast Mariners","Hyundai A-League R3","AAMI Park",8408,"15/16","2015-10-25","3"
"284","Perth Glory","Adelaide United","Hyundai A-League R3","HBF Park",7728,"15/16","2015-10-25","3"
"285","Melbourne City","Newcastle Jets","Hyundai A-League R4","AAMI Park",7209,"15/16","2015-10-30","4"
"286","Central Coast Mariners","Sydney FC","Hyundai A-League R4","Central Coast Stadium",10030,"15/16","2015-10-31","4"
"287","Brisbane Roar","Adelaide United","Hyundai A-League R4","Suncorp Stadium",10707,"15/16","2015-10-31","4"
"288","Western Sydney Wanderers","Perth Glory","Hyundai A-League R4","Pirtek Stadium",14194,"15/16","2015-11-01","4"
"289","Melbourne Victory","Wellington Phoenix","Hyundai A-League R4","Marvel Stadium",24934,"15/16","2015-11-02","4"
"290","Adelaide United","Melbourne City","Hyundai A-League R5","Coopers Stadium",8632,"15/16","2015-11-05","5"
"291","Sydney FC","Brisbane Roar","Hyundai A-League R5","Allianz Stadium",12857,"15/16","2015-11-06","5"
"292","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R5","McDonald Jones Stadium",14886,"15/16","2015-11-07","5"
"293","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R5","Central Coast Stadium",6460,"15/16","2015-11-08","5"
"294","Perth Glory","Melbourne Victory","Hyundai A-League R5","HBF Park",5398,"15/16","2015-12-16","5"
"295","Wellington Phoenix","Adelaide United","Hyundai A-League R6","Westpac Stadium",13654,"15/16","2015-11-13","6"
"296","Melbourne City","Western Sydney Wanderers","Hyundai A-League R6","AAMI Park",7910,"15/16","2015-11-13","6"
"297","Newcastle Jets","Central Coast Mariners","Hyundai A-League R6","McDonald Jones Stadium",9422,"15/16","2015-11-14","6"
"298","Sydney FC","Melbourne Victory","Hyundai A-League R6","Allianz Stadium",15947,"15/16","2015-11-14","6"
"299","Brisbane Roar","Perth Glory","Hyundai A-League R6","Suncorp Stadium",11748,"15/16","2015-11-15","6"
"300","Melbourne Victory","Central Coast Mariners","Hyundai A-League R7","AAMI Park",16669,"15/16","2015-11-19","7"
"301","Brisbane Roar","Melbourne City","Hyundai A-League R7","Suncorp Stadium",10812,"15/16","2015-11-20","7"
"302","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R7","Pirtek Stadium",14426,"15/16","2015-11-21","7"
"303","Perth Glory","Sydney FC","Hyundai A-League R7","HBF Park",6976,"15/16","2015-11-21","7"
"304","Adelaide United","Newcastle Jets","Hyundai A-League R7","Coopers Stadium",10048,"15/16","2015-11-22","7"
"305","Sydney FC","Wellington Phoenix","Hyundai A-League R8","Allianz Stadium",9253,"15/16","2015-11-26","8"
"306","Melbourne City","Perth Glory","Hyundai A-League R8","AAMI Park",5943,"15/16","2015-11-27","8"
"307","Newcastle Jets","Brisbane Roar","Hyundai A-League R8","McDonald Jones Stadium",10115,"15/16","2015-11-28","8"
"308","Melbourne Victory","Adelaide United","Hyundai A-League R8","Marvel Stadium",23415,"15/16","2015-11-28","8"
"309","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R8","Central Coast Stadium",10519,"15/16","2015-11-29","8"
"310","Central Coast Mariners","Melbourne City","Hyundai A-League R9","Central Coast Stadium",4514,"15/16","2015-12-03","9"
"311","Sydney FC","Newcastle Jets","Hyundai A-League R9","Allianz Stadium",9155,"15/16","2015-12-04","9"
"312","Wellington Phoenix","Melbourne Victory","Hyundai A-League R9","QBE Stadium",10852,"15/16","2015-12-05","9"
"313","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R9","Pirtek Stadium",9860,"15/16","2015-12-05","9"
"314","Brisbane Roar","Wellington Phoenix","Hyundai A-League R10","Cazaly's Stadium",5162,"15/16","2015-12-12","10"
"315","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R10","Pirtek Stadium",17073,"15/16","2015-12-12","10"
"316","Perth Glory","Central Coast Mariners","Hyundai A-League R10","HBF Park",5590,"15/16","2015-12-12","10"
"317","Newcastle Jets","Melbourne City","Hyundai A-League R10","McDonald Jones Stadium",10087,"15/16","2015-12-13","10"
"318","Newcastle Jets","Adelaide United","Hyundai A-League R11","McDonald Jones Stadium",7332,"15/16","2015-12-18","11"
"319","Wellington Phoenix","Sydney FC","Hyundai A-League R11","Westpac Stadium",10027,"15/16","2015-12-19","11"
"320","Melbourne City","Melbourne Victory","Hyundai A-League R11","AAMI Park",23572,"15/16","2015-12-19","11"
"321","Central Coast Mariners","Brisbane Roar","Hyundai A-League R11","Central Coast Stadium",5124,"15/16","2015-12-20","11"
"322","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R12","Pirtek Stadium",10141,"15/16","2015-12-24","12"
"323","Adelaide United","Wellington Phoenix","Hyundai A-League R12","Coopers Stadium",11655,"15/16","2015-12-26","12"
"324","Sydney FC","Central Coast Mariners","Hyundai A-League R12","Allianz Stadium",12648,"15/16","2015-12-26","12"
"325","Melbourne Victory","Perth Glory","Hyundai A-League R12","AAMI Park",22544,"15/16","2015-12-27","12"
"326","Brisbane Roar","Melbourne City","Hyundai A-League R12","Suncorp Stadium",16435,"15/16","2015-12-27","12"
"327","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R13","Central Coast Stadium",10073,"15/16","2015-12-31","13"
"328","Western Sydney Wanderers","Adelaide United","Hyundai A-League R13","Pirtek Stadium",16312,"15/16","2016-01-01","13"
"329","Brisbane Roar","Perth Glory","Hyundai A-League R13","Suncorp Stadium",17696,"15/16","2016-01-02","13"
"330","Melbourne City","Sydney FC","Hyundai A-League R13","AAMI Park",10140,"15/16","2016-01-02","13"
"331","Newcastle Jets","Melbourne Victory","Hyundai A-League R13","McDonald Jones Stadium",8864,"15/16","2016-01-03","13"
"332","Central Coast Mariners","Melbourne Victory","Hyundai A-League R14","GMHBA Stadium",14268,"15/16","2016-01-08","14"
"333","Sydney FC","Newcastle Jets","Hyundai A-League R14","ANZ Stadium",15127,"15/16","2016-01-09","14"
"334","Melbourne City","Western Sydney Wanderers","Hyundai A-League R14","AAMI Park",9776,"15/16","2016-01-09","14"
"335","Perth Glory","Adelaide United","Hyundai A-League R14","HBF Park",9009,"15/16","2016-01-09","14"
"336","Wellington Phoenix","Brisbane Roar","Hyundai A-League R14","Westpac Stadium",7774,"15/16","2016-01-10","14"
"337","Melbourne Victory","Brisbane Roar","Hyundai A-League R15","AAMI Park",23207,"15/16","2016-01-15","15"
"338","Adelaide United","Central Coast Mariners","Hyundai A-League R15","Coopers Stadium",11125,"15/16","2016-01-16","15"
"339","Western Sydney Wanderers","Sydney FC","Hyundai A-League R15","Pirtek Stadium",19627,"15/16","2016-01-16","15"
"340","Perth Glory","Melbourne City","Hyundai A-League R15","HBF Park",7021,"15/16","2016-01-16","15"
"341","Newcastle Jets","Wellington Phoenix","Hyundai A-League R15","McDonald Jones Stadium",7595,"15/16","2016-01-17","15"
"342","Brisbane Roar","Adelaide United","Hyundai A-League R16","Suncorp Stadium",12923,"15/16","2016-01-22","16"
"343","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R16","Central Coast Stadium",13105,"15/16","2016-01-23","16"
"344","Newcastle Jets","Perth Glory","Hyundai A-League R16","McDonald Jones Stadium",9403,"15/16","2016-01-24","16"
"345","Melbourne City","Wellington Phoenix","Hyundai A-League R16","AAMI Park",10825,"15/16","2016-01-25","16"
"346","Melbourne Victory","Sydney FC","Hyundai A-League R16","Marvel Stadium",30493,"15/16","2016-01-26","16"
"347","Western Sydney Wanderers","Melbourne City","Hyundai A-League R17","Pirtek Stadium",14820,"15/16","2016-01-29","17"
"348","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R17","AMI Stadium, Christchurch",8545,"15/16","2016-01-30","17"
"349","Sydney FC","Brisbane Roar","Hyundai A-League R17","Allianz Stadium",12548,"15/16","2016-01-30","17"
"350","Perth Glory","Melbourne Victory","Hyundai A-League R17","HBF Park",10501,"15/16","2016-01-30","17"
"351","Adelaide United","Newcastle Jets","Hyundai A-League R17","Coopers Stadium",12434,"15/16","2016-01-31","17"
"352","Adelaide United","Sydney FC","Hyundai A-League R18","Coopers Stadium",11785,"15/16","2016-02-05","18"
"353","Brisbane Roar","Central Coast Mariners","Hyundai A-League R18","Suncorp Stadium",11788,"15/16","2016-02-06","18"
"354","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R18","Marvel Stadium",25445,"15/16","2016-02-06","18"
"355","Wellington Phoenix","Perth Glory","Hyundai A-League R18","Westpac Stadium",7135,"15/16","2016-02-07","18"
"356","Newcastle Jets","Melbourne City","Hyundai A-League R18","McDonald Jones Stadium",7266,"15/16","2016-02-07","18"
"357","Brisbane Roar","Newcastle Jets","Hyundai A-League R19","Suncorp Stadium",9382,"15/16","2016-02-12","19"
"358","Sydney FC","Perth Glory","Hyundai A-League R19","Allianz Stadium",11559,"15/16","2016-02-13","19"
"359","Melbourne City","Melbourne Victory","Hyundai A-League R19","AAMI Park",25738,"15/16","2016-02-13","19"
"360","Central Coast Mariners","Adelaide United","Hyundai A-League R19","Central Coast Stadium",5096,"15/16","2016-02-14","19"
"361","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R19","Pirtek Stadium",12589,"15/16","2016-02-14","19"
"362","Melbourne Victory","Adelaide United","Hyundai A-League R20","AAMI Park",18924,"15/16","2016-02-19","20"
"363","Newcastle Jets","Wellington Phoenix","Hyundai A-League R20","McDonald Jones Stadium",7120,"15/16","2016-02-20","20"
"364","Sydney FC","Western Sydney Wanderers","Hyundai A-League R20","Allianz Stadium",40382,"15/16","2016-02-20","20"
"365","Perth Glory","Brisbane Roar","Hyundai A-League R20","HBF Park",12156,"15/16","2016-02-20","20"
"366","Melbourne City","Central Coast Mariners","Hyundai A-League R20","AAMI Park",7535,"15/16","2016-02-21","20"
"367","Wellington Phoenix","Melbourne City","Hyundai A-League R21","Westpac Stadium",6591,"15/16","2016-02-26","21"
"368","Western Sydney Wanderers","Perth Glory","Hyundai A-League R21","Pirtek Stadium",12639,"15/16","2016-02-26","21"
"369","Adelaide United","Brisbane Roar","Hyundai A-League R21","Coopers Stadium",12712,"15/16","2016-02-27","21"
"370","Melbourne Victory","Sydney FC","Hyundai A-League R21","AAMI Park",20112,"15/16","2016-02-27","21"
"371","Central Coast Mariners","Newcastle Jets","Hyundai A-League R21","Central Coast Stadium",7528,"15/16","2016-02-28","21"
"372","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R22","Suncorp Stadium",13157,"15/16","2016-03-04","22"
"373","Wellington Phoenix","Adelaide United","Hyundai A-League R22","Westpac Stadium",6595,"15/16","2016-03-05","22"
"374","Melbourne City","Sydney FC","Hyundai A-League R22","AAMI Park",8585,"15/16","2016-03-05","22"
"375","Central Coast Mariners","Melbourne Victory","Hyundai A-League R22","Central Coast Stadium",5032,"15/16","2016-03-06","22"
"376","Perth Glory","Newcastle Jets","Hyundai A-League R22","HBF Park",11260,"15/16","2016-03-07","22"
"377","Adelaide United","Melbourne City","Hyundai A-League R23","Coopers Stadium",14274,"15/16","2016-03-11","23"
"378","Sydney FC","Wellington Phoenix","Hyundai A-League R23","Allianz Stadium",10235,"15/16","2016-03-12","23"
"379","Brisbane Roar","Melbourne Victory","Hyundai A-League R23","Suncorp Stadium",15892,"15/16","2016-03-12","23"
"380","Perth Glory","Central Coast Mariners","Hyundai A-League R23","HBF Park",11127,"15/16","2016-03-12","23"
"381","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R23","McDonald Jones Stadium",12153,"15/16","2016-03-13","23"
"382","Melbourne City","Brisbane Roar","Hyundai A-League R24","AAMI Park",7658,"15/16","2016-03-18","24"
"383","Central Coast Mariners","Sydney FC","Hyundai A-League R24","Central Coast Stadium",6383,"15/16","2016-03-19","24"
"384","Western Sydney Wanderers","Adelaide United","Hyundai A-League R24","Pirtek Stadium",15208,"15/16","2016-03-19","24"
"385","Wellington Phoenix","Perth Glory","Hyundai A-League R24","Westpac Stadium",5844,"15/16","2016-03-20","24"
"386","Melbourne Victory","Newcastle Jets","Hyundai A-League R24","AAMI Park",14383,"15/16","2016-03-20","24"
"387","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R25","AAMI Park",20097,"15/16","2016-03-25","25"
"388","Newcastle Jets","Perth Glory","Hyundai A-League R25","McDonald Jones Stadium",7569,"15/16","2016-03-26","25"
"389","Brisbane Roar","Sydney FC","Hyundai A-League R25","Suncorp Stadium",14897,"15/16","2016-03-26","25"
"390","Adelaide United","Central Coast Mariners","Hyundai A-League R25","Coopers Stadium",10269,"15/16","2016-03-27","25"
"391","Melbourne City","Wellington Phoenix","Hyundai A-League R25","AAMI Park",9895,"15/16","2016-03-28","25"
"392","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R26","Pirtek Stadium",14855,"15/16","2016-04-01","26"
"393","Wellington Phoenix","Melbourne Victory","Hyundai A-League R26","Westpac Stadium",5103,"15/16","2016-04-02","26"
"394","Sydney FC","Adelaide United","Hyundai A-League R26","Allianz Stadium",8981,"15/16","2016-04-02","26"
"395","Brisbane Roar","Newcastle Jets","Hyundai A-League R26","Suncorp Stadium",14825,"15/16","2016-04-03","26"
"396","Perth Glory","Melbourne City","Hyundai A-League R26","HBF Park",14504,"15/16","2016-04-03","26"
"397","Melbourne City","Adelaide United","Hyundai A-League R27","AAMI Park",11454,"15/16","2016-04-08","27"
"398","Central Coast Mariners","Newcastle Jets","Hyundai A-League R27","Central Coast Stadium",7355,"15/16","2016-04-09","27"
"399","Melbourne Victory","Brisbane Roar","Hyundai A-League R27","AAMI Park",20012,"15/16","2016-04-09","27"
"400","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R27","Westpac Stadium",10143,"15/16","2016-04-10","27"
"401","Sydney FC","Perth Glory","Hyundai A-League R27","Allianz Stadium",8717,"15/16","2016-04-10","27"
"402","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R1","Marvel Stadium",30083,"14/15","2014-10-10","1"
"403","Central Coast Mariners","Newcastle Jets","Hyundai A-League R1","Central Coast Stadium",10443,"14/15","2014-10-11","1"
"404","Sydney FC","Melbourne City","Hyundai A-League R1","Allianz Stadium",25525,"14/15","2014-10-11","1"
"405","Wellington Phoenix","Perth Glory","Hyundai A-League R1","Westpac Stadium",7767,"14/15","2014-10-12","1"
"406","Brisbane Roar","Adelaide United","Hyundai A-League R1","Suncorp Stadium",16195,"14/15","2014-10-12","1"
"407","Adelaide United","Melbourne Victory","Hyundai A-League R2","Adelaide Oval",33126,"14/15","2014-10-17","2"
"408","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R2","Central Coast Stadium",7237,"14/15","2014-10-18","2"
"409","Sydney FC","Western Sydney Wanderers","Hyundai A-League R2","Allianz Stadium",41213,"14/15","2014-10-18","2"
"410","Melbourne City","Newcastle Jets","Hyundai A-League R2","AAMI Park",15717,"14/15","2014-10-19","2"
"411","Perth Glory","Brisbane Roar","Hyundai A-League R2","HBF Park",8789,"14/15","2014-10-19","2"
"412","Brisbane Roar","Sydney FC","Hyundai A-League R3","Suncorp Stadium",14141,"14/15","2014-10-24","3"
"413","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R3","Pirtek Stadium",14691,"14/15","2014-11-19","3"
"414","Melbourne Victory","Melbourne City","Hyundai A-League R3","Marvel Stadium",43729,"14/15","2014-10-25","3"
"415","Wellington Phoenix","Newcastle Jets","Hyundai A-League R3","Westpac Stadium",7802,"14/15","2014-10-26","3"
"416","Adelaide United","Perth Glory","Hyundai A-League R3","Coopers Stadium",11473,"14/15","2014-10-26","3"
"417","Melbourne City","Adelaide United","Hyundai A-League R4","AAMI Park",13083,"14/15","2014-10-31","4"
"418","Perth Glory","Newcastle Jets","Hyundai A-League R4","HBF Park",8624,"14/15","2014-11-01","4"
