Team,Stadium
Melbourne City FC,AAMI Park
Central Coast Mariners,Central Coast Stadium
Melbourne Victory,Marvel Stadium
Wellington Phoenix,Westpac Stadium
Western Sydney Wanderers FC,Spotless Stadium
Brisbane Roar FC,Suncorp Stadium
Newcastle Jets,McDonald Jones Stadium
Sydney FC,Allianz Stadium
Adelaide United,Coopers Stadium
Perth Glory,nib Stadium
