Round,Date,Home,Away,Score
,24.11. 19:50,Brisbane Roar,Melbourne City,2 : 0
,24.11. 17:35,Wellington Phoenix,Adelaide United,1 : 3
,23.11. 19:50,WS Wanderers,Newcastle Jets,0 : 2
Round 4,,,,
,11.11. 19:00,Melbourne Victory,Central Coast Mariners,4 : 1
,11.11. 17:00,Adelaide United,Perth Glory,0 : 2
,10.11. 19:50,Newcastle Jets,Sydney FC,1 : 1
,10.11. 17:35,WS Wanderers,Brisbane Roar,2 : 2
,09.11. 19:50,Melbourne City,Wellington Phoenix,2 : 0
Round 3,,,,
,04.11. 17:00,Central Coast Mariners,Adelaide United,0 : 3
,03.11. 22:00,Perth Glory ,Brisbane Roar,2 : 1
,03.11. 19:50,Newcastle Jets,Melbourne Victory,0 : 1
,03.11. 17:35,Wellington Phoenix,WS Wanderers,0 : 3
,02.11. 19:50,Melbourne City,Sydney FC,0 : 3
Round 2,,,,
,28.10. 19:00,Melbourne Victory,Perth Glory,2 : 3
,28.10. 17:00,Brisbane Roar,Wellington Phoenix,0 : 0
,27.10. 19:50,Sydney FC,WS Wanderers,2 : 0
,27.10. 17:35,Central Coast Mariners,Melbourne City,1 : 1
,26.10. 19:50,Adelaide United,Newcastle Jets,1 : 1
Round 1,,,,
,21.10. 19:00,Perth Glory,WS Wanderers,1 : 1
,21.10. 17:00,Brisbane Roar,Central Coast Mariners,1 : 1
,21.10. 15:00,Wellington Phoenix,Newcastle Jets,2 : 1
,20.10. 19:50,Melbourne Victory,Melbourne City,1 : 2
,19.10. 19:50,Adelaide United,Sydney FC,1 : 1
