"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4","Season"
"239","
						Perth Glory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R21","HBF Park","9,789","
						Hyundai A-League R21
						HBF Park
					","Hyundai A-League R21","HBF Park","2017-02-25T11:00:00+00:00","
							Attendance
							9,789
						","Attendance","9,789","16/17"
"240","
						Brisbane Roar FC

						","
						Wellington Phoenix

						","Hyundai A-League R21","Suncorp Stadium","10,723","
						Hyundai A-League R21
						Suncorp Stadium
					","Hyundai A-League R21","Suncorp Stadium","2017-02-25T06:35:00+00:00","
							Attendance
							10,723
						","Attendance","10,723","16/17"
"241","
						Newcastle Jets

						","
						Brisbane Roar FC

						","Hyundai A-League R22","McDonald Jones Stadium","7,122","
						Hyundai A-League R22
						McDonald Jones Stadium
					","Hyundai A-League R22","McDonald Jones Stadium","2017-03-05T08:00:00+00:00","
							Attendance
							7,122
						","Attendance","7,122","16/17"
"242","
						Wellington Phoenix

						","
						Perth Glory

						","Hyundai A-League R22","QBE Stadium","6,285","
						Hyundai A-League R22
						QBE Stadium
					","Hyundai A-League R22","QBE Stadium","2017-03-04T06:35:00+00:00","
							Attendance
							6,285
						","Attendance","6,285","16/17"
"243","
						Western Sydney Wanderers FC

						","
						Adelaide United

						","Hyundai A-League R22","Spotless Stadium","8,965","
						Hyundai A-League R22
						Spotless Stadium
					","Hyundai A-League R22","Spotless Stadium","2017-03-04T08:50:00+00:00","
							Attendance
							8,965
						","Attendance","8,965","16/17"
"244","
						Central Coast Mariners

						","
						Melbourne City FC

						","Hyundai A-League R22","Central Coast Stadium","5,974","
						Hyundai A-League R22
						Central Coast Stadium
					","Hyundai A-League R22","Central Coast Stadium","2017-03-05T06:00:00+00:00","
							Attendance
							5,974
						","Attendance","5,974","16/17"
"245","
						Sydney FC

						","
						Melbourne Victory

						","Hyundai A-League R22","Allianz Stadium","13,310","
						Hyundai A-League R22
						Allianz Stadium
					","Hyundai A-League R22","Allianz Stadium","2017-03-03T08:50:00+00:00","
							Attendance
							13,310
						","Attendance","13,310","16/17"
"246","
						Sydney FC

						","
						Central Coast Mariners

						","Hyundai A-League R23","Allianz Stadium","11,148","
						Hyundai A-League R23
						Allianz Stadium
					","Hyundai A-League R23","Allianz Stadium","2017-03-10T08:50:00+00:00","
							Attendance
							11,148
						","Attendance","11,148","16/17"
"247","
						Melbourne Victory

						","
						Perth Glory

						","Hyundai A-League R23","AAMI Park","16,814","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2017-03-11T08:50:00+00:00","
							Attendance
							16,814
						","Attendance","16,814","16/17"
"248","
						Melbourne City FC

						","
						Newcastle Jets

						","Hyundai A-League R23","AAMI Park","8,949","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2017-03-18T08:50:00+00:00","
							Attendance
							8,949
						","Attendance","8,949","16/17"
"249","
						Adelaide United

						","
						Brisbane Roar FC

						","Hyundai A-League R23","Coopers Stadium","7,197","
						Hyundai A-League R23
						Coopers Stadium
					","Hyundai A-League R23","Coopers Stadium","2017-03-19T06:00:00+00:00","
							Attendance
							7,197
						","Attendance","7,197","16/17"
"250","
						Western Sydney Wanderers FC

						","
						Wellington Phoenix

						","Hyundai A-League R23","Spotless Stadium","7,828","
						Hyundai A-League R23
						Spotless Stadium
					","Hyundai A-League R23","Spotless Stadium","2017-03-19T08:00:00+00:00","
							Attendance
							7,828
						","Attendance","7,828","16/17"
"251","
						Western Sydney Wanderers FC

						","
						Melbourne City FC

						","Hyundai A-League R24","Spotless Stadium","10,204","
						Hyundai A-League R24
						Spotless Stadium
					","Hyundai A-League R24","Spotless Stadium","2017-03-24T08:50:00+00:00","
							Attendance
							10,204
						","Attendance","10,204","16/17"
"252","
						Central Coast Mariners

						","
						Adelaide United

						","Hyundai A-League R24","Central Coast Stadium","5,438","
						Hyundai A-League R24
						Central Coast Stadium
					","Hyundai A-League R24","Central Coast Stadium","2017-03-25T06:35:00+00:00","
							Attendance
							5,438
						","Attendance","5,438","16/17"
"253","
						Brisbane Roar FC

						","
						Melbourne Victory

						","Hyundai A-League R24","Suncorp Stadium","13,576","
						Hyundai A-League R24
						Suncorp Stadium
					","Hyundai A-League R24","Suncorp Stadium","2017-03-25T08:50:00+00:00","
							Attendance
							13,576
						","Attendance","13,576","16/17"
"254","
						Wellington Phoenix

						","
						Newcastle Jets

						","Hyundai A-League R24","Westpac Stadium","4,828","
						Hyundai A-League R24
						Westpac Stadium
					","Hyundai A-League R24","Westpac Stadium","2017-03-26T06:00:00+00:00","
							Attendance
							4,828
						","Attendance","4,828","16/17"
"255","
						Perth Glory

						","
						Sydney FC

						","Hyundai A-League R24","HBF Park","10,097","
						Hyundai A-League R24
						HBF Park
					","Hyundai A-League R24","HBF Park","2017-03-26T08:00:00+00:00","
							Attendance
							10,097
						","Attendance","10,097","16/17"
"256","
						Adelaide United

						","
						Perth Glory

						","Hyundai A-League R25","Coopers Stadium","7,307","
						Hyundai A-League R25
						Coopers Stadium
					","Hyundai A-League R25","Coopers Stadium","2017-03-31T08:50:00+00:00","
							Attendance
							7,307
						","Attendance","7,307","16/17"
"257","
						Newcastle Jets

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R25","McDonald Jones Stadium","9,380","
						Hyundai A-League R25
						McDonald Jones Stadium
					","Hyundai A-League R25","McDonald Jones Stadium","2017-04-01T06:35:00+00:00","
							Attendance
							9,380
						","Attendance","9,380","16/17"
"258","
						Sydney FC

						","
						Melbourne City FC

						","Hyundai A-League R25","Allianz Stadium","15,266","
						Hyundai A-League R25
						Allianz Stadium
					","Hyundai A-League R25","Allianz Stadium","2017-04-01T08:50:00+00:00","
							Attendance
							15,266
						","Attendance","15,266","16/17"
"259","
						Melbourne Victory

						","
						Wellington Phoenix

						","Hyundai A-League R25","AAMI Park","17,011","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2017-04-02T07:00:00+00:00","
							Attendance
							17,011
						","Attendance","17,011","16/17"
"260","
						Brisbane Roar FC

						","
						Central Coast Mariners

						","Hyundai A-League R25","Suncorp Stadium","8,113","
						Hyundai A-League R25
						Suncorp Stadium
					","Hyundai A-League R25","Suncorp Stadium","2017-04-02T09:00:00+00:00","
							Attendance
							8,113
						","Attendance","8,113","16/17"
"261","
						Melbourne City FC

						","
						Adelaide United

						","Hyundai A-League R26","AAMI Park","9,238","
						Hyundai A-League R26
						AAMI Park
					","Hyundai A-League R26","AAMI Park","2017-04-07T09:50:00+00:00","
							Attendance
							9,238
						","Attendance","9,238","16/17"
"262","
						Wellington Phoenix

						","
						Sydney FC

						","Hyundai A-League R26","Westpac Stadium","6,610","
						Hyundai A-League R26
						Westpac Stadium
					","Hyundai A-League R26","Westpac Stadium","2017-04-08T07:35:00+00:00","
							Attendance
							6,610
						","Attendance","6,610","16/17"
"263","
						Western Sydney Wanderers FC

						","
						Melbourne Victory

						","Hyundai A-League R26","ANZ Stadium","16,345","
						Hyundai A-League R26
						ANZ Stadium
					","Hyundai A-League R26","ANZ Stadium","2017-04-08T09:50:00+00:00","
							Attendance
							16,345
						","Attendance","16,345","16/17"
"264","
						Perth Glory

						","
						Brisbane Roar FC

						","Hyundai A-League R26","HBF Park","8,834","
						Hyundai A-League R26
						HBF Park
					","Hyundai A-League R26","HBF Park","2017-04-08T12:00:00+00:00","
							Attendance
							8,834
						","Attendance","8,834","16/17"
"265","
						Central Coast Mariners

						","
						Newcastle Jets

						","Hyundai A-League R26","Central Coast Stadium","8,073","
						Hyundai A-League R26
						Central Coast Stadium
					","Hyundai A-League R26","Central Coast Stadium","2017-04-09T07:00:00+00:00","
							Attendance
							8,073
						","Attendance","8,073","16/17"
"266","
						Melbourne Victory

						","
						Central Coast Mariners

						","Hyundai A-League R27","AAMI Park","14,827","
						Hyundai A-League R27
						AAMI Park
					","Hyundai A-League R27","AAMI Park","2017-04-14T09:50:00+00:00","
							Attendance
							14,827
						","Attendance","14,827","16/17"
"267","
						Sydney FC

						","
						Newcastle Jets

						","Hyundai A-League R27","Allianz Stadium","15,787","
						Hyundai A-League R27
						Allianz Stadium
					","Hyundai A-League R27","Allianz Stadium","2017-04-15T07:35:00+00:00","
							Attendance
							15,787
						","Attendance","15,787","16/17"
"268","
						Adelaide United

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R27","Coopers Stadium","7,636","
						Hyundai A-League R27
						Coopers Stadium
					","Hyundai A-League R27","Coopers Stadium","2017-04-15T09:50:00+00:00","
							Attendance
							7,636
						","Attendance","7,636","16/17"
"269","
						Brisbane Roar FC

						","
						Wellington Phoenix

						","Hyundai A-League R27","Suncorp Stadium","12,098","
						Hyundai A-League R27
						Suncorp Stadium
					","Hyundai A-League R27","Suncorp Stadium","2017-04-16T07:00:00+00:00","
							Attendance
							12,098
						","Attendance","12,098","16/17"
"270","
						Perth Glory

						","
						Melbourne City FC

						","Hyundai A-League R27","HBF Park","12,621","
						Hyundai A-League R27
						HBF Park
					","Hyundai A-League R27","HBF Park","2017-04-16T09:00:00+00:00","
							Attendance
							12,621
						","Attendance","12,621","16/17"
"271","
						Western Sydney Wanderers FC

						","
						Brisbane Roar FC

						","Hyundai A-League R1","Pirtek Stadium","14,122","
						Hyundai A-League R1
						Pirtek Stadium
					","Hyundai A-League R1","Pirtek Stadium","2015-10-08T09:00:00+00:00","
							Attendance
							14,122
						","Attendance","14,122","15/16"
"272","
						Adelaide United

						","
						Melbourne Victory

						","Hyundai A-League R1","Adelaide Oval","19,079","
						Hyundai A-League R1
						Adelaide Oval
					","Hyundai A-League R1","Adelaide Oval","2015-10-09T08:40:00+00:00","
							Attendance
							19,079
						","Attendance","19,079","15/16"
"273","
						Central Coast Mariners

						","
						Perth Glory

						","Hyundai A-League R1","Central Coast Stadium","8,073","
						Hyundai A-League R1
						Central Coast Stadium
					","Hyundai A-League R1","Central Coast Stadium","2015-10-10T06:15:00+00:00","
							Attendance
							8,073
						","Attendance","8,073","15/16"
"274","
						Sydney FC

						","
						Melbourne City FC

						","Hyundai A-League R1","Allianz Stadium","17,051","
						Hyundai A-League R1
						Allianz Stadium
					","Hyundai A-League R1","Allianz Stadium","2015-10-10T08:30:00+00:00","
							Attendance
							17,051
						","Attendance","17,051","15/16"
"275","
						Wellington Phoenix

						","
						Newcastle Jets

						","Hyundai A-League R1","Westpac Stadium","6,255","
						Hyundai A-League R1
						Westpac Stadium
					","Hyundai A-League R1","Westpac Stadium","2015-10-11T06:00:00+00:00","
							Attendance
							6,255
						","Attendance","6,255","15/16"
"276","
						Adelaide United

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R2","Coopers Stadium","9,442","
						Hyundai A-League R2
						Coopers Stadium
					","Hyundai A-League R2","Coopers Stadium","2015-10-16T08:40:00+00:00","
							Attendance
							9,442
						","Attendance","9,442","15/16"
"277","
						Newcastle Jets

						","
						Sydney FC

						","Hyundai A-League R2","McDonald Jones Stadium","12,713","
						Hyundai A-League R2
						McDonald Jones Stadium
					","Hyundai A-League R2","McDonald Jones Stadium","2015-10-17T06:15:00+00:00","
							Attendance
							12,713
						","Attendance","12,713","15/16"
"278","
						Melbourne Victory

						","
						Melbourne City FC

						","Hyundai A-League R2","Marvel Stadium","40,217","
						Hyundai A-League R2
						Marvel Stadium
					","Hyundai A-League R2","Marvel Stadium","2015-10-17T08:30:00+00:00","
							Attendance
							40,217
						","Attendance","40,217","15/16"
"279","
						Brisbane Roar FC

						","
						Central Coast Mariners

						","Hyundai A-League R2","Suncorp Stadium","14,471","
						Hyundai A-League R2
						Suncorp Stadium
					","Hyundai A-League R2","Suncorp Stadium","2015-10-18T06:00:00+00:00","
							Attendance
							14,471
						","Attendance","14,471","15/16"
"280","
						Perth Glory

						","
						Wellington Phoenix

						","Hyundai A-League R2","HBF Park","8,145","
						Hyundai A-League R2
						HBF Park
					","Hyundai A-League R2","HBF Park","2015-10-18T08:00:00+00:00","
							Attendance
							8,145
						","Attendance","8,145","15/16"
"281","
						Wellington Phoenix

						","
						Brisbane Roar FC

						","Hyundai A-League R3","Westpac Stadium","6,103","
						Hyundai A-League R3
						Westpac Stadium
					","Hyundai A-League R3","Westpac Stadium","2015-10-24T06:15:00+00:00","
							Attendance
							6,103
						","Attendance","6,103","15/16"
"282","
						Sydney FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R3","Allianz Stadium","40,539","
						Hyundai A-League R3
						Allianz Stadium
					","Hyundai A-League R3","Allianz Stadium","2015-10-24T08:30:00+00:00","
							Attendance
							40,539
						","Attendance","40,539","15/16"
"283","
						Melbourne City FC

						","
						Central Coast Mariners

						","Hyundai A-League R3","AAMI Park","8,408","
						Hyundai A-League R3
						AAMI Park
					","Hyundai A-League R3","AAMI Park","2015-10-25T06:00:00+00:00","
							Attendance
							8,408
						","Attendance","8,408","15/16"
"284","
						Perth Glory

						","
						Adelaide United

						","Hyundai A-League R3","HBF Park","7,728","
						Hyundai A-League R3
						HBF Park
					","Hyundai A-League R3","HBF Park","2015-10-25T08:00:00+00:00","
							Attendance
							7,728
						","Attendance","7,728","15/16"
"285","
						Melbourne City FC

						","
						Newcastle Jets

						","Hyundai A-League R4","AAMI Park","7,209","
						Hyundai A-League R4
						AAMI Park
					","Hyundai A-League R4","AAMI Park","2015-10-30T08:40:00+00:00","
							Attendance
							7,209
						","Attendance","7,209","15/16"
"286","
						Central Coast Mariners

						","
						Sydney FC

						","Hyundai A-League R4","Central Coast Stadium","10,030","
						Hyundai A-League R4
						Central Coast Stadium
					","Hyundai A-League R4","Central Coast Stadium","2015-10-31T06:15:00+00:00","
							Attendance
							10,030
						","Attendance","10,030","15/16"
"287","
						Brisbane Roar FC

						","
						Adelaide United

						","Hyundai A-League R4","Suncorp Stadium","10,707","
						Hyundai A-League R4
						Suncorp Stadium
					","Hyundai A-League R4","Suncorp Stadium","2015-10-31T08:30:00+00:00","
							Attendance
							10,707
						","Attendance","10,707","15/16"
"288","
						Western Sydney Wanderers FC

						","
						Perth Glory

						","Hyundai A-League R4","Pirtek Stadium","14,194","
						Hyundai A-League R4
						Pirtek Stadium
					","Hyundai A-League R4","Pirtek Stadium","2015-11-01T06:00:00+00:00","
							Attendance
							14,194
						","Attendance","14,194","15/16"
"289","
						Melbourne Victory

						","
						Wellington Phoenix

						","Hyundai A-League R4","Marvel Stadium","24,934","
						Hyundai A-League R4
						Marvel Stadium
					","Hyundai A-League R4","Marvel Stadium","2015-11-02T08:30:00+00:00","
							Attendance
							24,934
						","Attendance","24,934","15/16"
"290","
						Adelaide United

						","
						Melbourne City FC

						","Hyundai A-League R5","Coopers Stadium","8,632","
						Hyundai A-League R5
						Coopers Stadium
					","Hyundai A-League R5","Coopers Stadium","2015-11-05T09:00:00+00:00","
							Attendance
							8,632
						","Attendance","8,632","15/16"
"291","
						Sydney FC

						","
						Brisbane Roar FC

						","Hyundai A-League R5","Allianz Stadium","12,857","
						Hyundai A-League R5
						Allianz Stadium
					","Hyundai A-League R5","Allianz Stadium","2015-11-06T08:40:00+00:00","
							Attendance
							12,857
						","Attendance","12,857","15/16"
"292","
						Newcastle Jets

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R5","McDonald Jones Stadium","14,886","
						Hyundai A-League R5
						McDonald Jones Stadium
					","Hyundai A-League R5","McDonald Jones Stadium","2015-11-07T06:15:00+00:00","
							Attendance
							14,886
						","Attendance","14,886","15/16"
"293","
						Central Coast Mariners

						","
						Wellington Phoenix

						","Hyundai A-League R5","Central Coast Stadium","6,460","
						Hyundai A-League R5
						Central Coast Stadium
					","Hyundai A-League R5","Central Coast Stadium","2015-11-08T06:00:00+00:00","
							Attendance
							6,460
						","Attendance","6,460","15/16"
"294","
						Perth Glory

						","
						Melbourne Victory

						","Hyundai A-League R5","HBF Park","5,398","
						Hyundai A-League R5
						HBF Park
					","Hyundai A-League R5","HBF Park","2015-12-16T10:00:00+00:00","
							Attendance
							5,398
						","Attendance","5,398","15/16"
"295","
						Wellington Phoenix

						","
						Adelaide United

						","Hyundai A-League R6","Westpac Stadium","13,654","
						Hyundai A-League R6
						Westpac Stadium
					","Hyundai A-League R6","Westpac Stadium","2015-11-13T06:30:00+00:00","
							Attendance
							13,654
						","Attendance","13,654","15/16"
"296","
						Melbourne City FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R6","AAMI Park","7,910","
						Hyundai A-League R6
						AAMI Park
					","Hyundai A-League R6","AAMI Park","2015-11-13T08:40:00+00:00","
							Attendance
							7,910
						","Attendance","7,910","15/16"
"297","
						Newcastle Jets

						","
						Central Coast Mariners

						","Hyundai A-League R6","McDonald Jones Stadium","9,422","
						Hyundai A-League R6
						McDonald Jones Stadium
					","Hyundai A-League R6","McDonald Jones Stadium","2015-11-14T06:15:00+00:00","
							Attendance
							9,422
						","Attendance","9,422","15/16"
"298","
						Sydney FC

						","
						Melbourne Victory

						","Hyundai A-League R6","Allianz Stadium","15,947","
						Hyundai A-League R6
						Allianz Stadium
					","Hyundai A-League R6","Allianz Stadium","2015-11-14T08:30:00+00:00","
							Attendance
							15,947
						","Attendance","15,947","15/16"
"299","
						Brisbane Roar FC

						","
						Perth Glory

						","Hyundai A-League R6","Suncorp Stadium","11,748","
						Hyundai A-League R6
						Suncorp Stadium
					","Hyundai A-League R6","Suncorp Stadium","2015-11-15T06:00:00+00:00","
							Attendance
							11,748
						","Attendance","11,748","15/16"
"300","
						Melbourne Victory

						","
						Central Coast Mariners

						","Hyundai A-League R7","AAMI Park","16,669","
						Hyundai A-League R7
						AAMI Park
					","Hyundai A-League R7","AAMI Park","2015-11-19T09:00:00+00:00","
							Attendance
							16,669
						","Attendance","16,669","15/16"
"301","
						Brisbane Roar FC

						","
						Melbourne City FC

						","Hyundai A-League R7","Suncorp Stadium","10,812","
						Hyundai A-League R7
						Suncorp Stadium
					","Hyundai A-League R7","Suncorp Stadium","2015-11-20T09:00:00+00:00","
							Attendance
							10,812
						","Attendance","10,812","15/16"
"302","
						Western Sydney Wanderers FC

						","
						Wellington Phoenix

						","Hyundai A-League R7","Pirtek Stadium","14,426","
						Hyundai A-League R7
						Pirtek Stadium
					","Hyundai A-League R7","Pirtek Stadium","2015-11-21T06:15:00+00:00","
							Attendance
							14,426
						","Attendance","14,426","15/16"
"303","
						Perth Glory

						","
						Sydney FC

						","Hyundai A-League R7","HBF Park","6,976","
						Hyundai A-League R7
						HBF Park
					","Hyundai A-League R7","HBF Park","2015-11-21T08:30:00+00:00","
							Attendance
							6,976
						","Attendance","6,976","15/16"
"304","
						Adelaide United

						","
						Newcastle Jets

						","Hyundai A-League R7","Coopers Stadium","10,048","
						Hyundai A-League R7
						Coopers Stadium
					","Hyundai A-League R7","Coopers Stadium","2015-11-22T06:00:00+00:00","
							Attendance
							10,048
						","Attendance","10,048","15/16"
"305","
						Sydney FC

						","
						Wellington Phoenix

						","Hyundai A-League R8","Allianz Stadium","9,253","
						Hyundai A-League R8
						Allianz Stadium
					","Hyundai A-League R8","Allianz Stadium","2015-11-26T09:00:00+00:00","
							Attendance
							9,253
						","Attendance","9,253","15/16"
"306","
						Melbourne City FC

						","
						Perth Glory

						","Hyundai A-League R8","AAMI Park","5,943","
						Hyundai A-League R8
						AAMI Park
					","Hyundai A-League R8","AAMI Park","2015-11-27T08:40:00+00:00","
							Attendance
							5,943
						","Attendance","5,943","15/16"
"307","
						Newcastle Jets

						","
						Brisbane Roar FC

						","Hyundai A-League R8","McDonald Jones Stadium","10,115","
						Hyundai A-League R8
						McDonald Jones Stadium
					","Hyundai A-League R8","McDonald Jones Stadium","2015-11-28T06:15:00+00:00","
							Attendance
							10,115
						","Attendance","10,115","15/16"
"308","
						Melbourne Victory

						","
						Adelaide United

						","Hyundai A-League R8","Marvel Stadium","23,415","
						Hyundai A-League R8
						Marvel Stadium
					","Hyundai A-League R8","Marvel Stadium","2015-11-28T08:30:00+00:00","
							Attendance
							23,415
						","Attendance","23,415","15/16"
"309","
						Central Coast Mariners

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R8","Central Coast Stadium","10,519","
						Hyundai A-League R8
						Central Coast Stadium
					","Hyundai A-League R8","Central Coast Stadium","2015-11-29T06:00:00+00:00","
							Attendance
							10,519
						","Attendance","10,519","15/16"
"310","
						Central Coast Mariners

						","
						Melbourne City FC

						","Hyundai A-League R9","Central Coast Stadium","4,514","
						Hyundai A-League R9
						Central Coast Stadium
					","Hyundai A-League R9","Central Coast Stadium","2015-12-03T09:00:00+00:00","
							Attendance
							4,514
						","Attendance","4,514","15/16"
"311","
						Sydney FC

						","
						Newcastle Jets

						","Hyundai A-League R9","Allianz Stadium","9,155","
						Hyundai A-League R9
						Allianz Stadium
					","Hyundai A-League R9","Allianz Stadium","2015-12-04T08:40:00+00:00","
							Attendance
							9,155
						","Attendance","9,155","15/16"
"312","
						Wellington Phoenix

						","
						Melbourne Victory

						","Hyundai A-League R9","QBE Stadium","10,852","
						Hyundai A-League R9
						QBE Stadium
					","Hyundai A-League R9","QBE Stadium","2015-12-05T06:15:00+00:00","
							Attendance
							10,852
						","Attendance","10,852","15/16"
"313","
						Western Sydney Wanderers FC

						","
						Brisbane Roar FC

						","Hyundai A-League R9","Pirtek Stadium","9,860","
						Hyundai A-League R9
						Pirtek Stadium
					","Hyundai A-League R9","Pirtek Stadium","2015-12-05T08:30:00+00:00","
							Attendance
							9,860
						","Attendance","9,860","15/16"
"314","
						Brisbane Roar FC

						","
						Wellington Phoenix

						","Hyundai A-League R10","Cazaly's Stadium","5,162","
						Hyundai A-League R10
						Cazaly's Stadium
					","Hyundai A-League R10","Cazaly's Stadium","2015-12-12T06:15:00+00:00","
							Attendance
							5,162
						","Attendance","5,162","15/16"
"315","
						Western Sydney Wanderers FC

						","
						Melbourne Victory

						","Hyundai A-League R10","Pirtek Stadium","17,073","
						Hyundai A-League R10
						Pirtek Stadium
					","Hyundai A-League R10","Pirtek Stadium","2015-12-12T08:30:00+00:00","
							Attendance
							17,073
						","Attendance","17,073","15/16"
"316","
						Perth Glory

						","
						Central Coast Mariners

						","Hyundai A-League R10","HBF Park","5,590","
						Hyundai A-League R10
						HBF Park
					","Hyundai A-League R10","HBF Park","2015-12-12T10:40:00+00:00","
							Attendance
							5,590
						","Attendance","5,590","15/16"
"317","
						Newcastle Jets

						","
						Melbourne City FC

						","Hyundai A-League R10","McDonald Jones Stadium","10,087","
						Hyundai A-League R10
						McDonald Jones Stadium
					","Hyundai A-League R10","McDonald Jones Stadium","2015-12-13T06:00:00+00:00","
							Attendance
							10,087
						","Attendance","10,087","15/16"
"318","
						Newcastle Jets

						","
						Adelaide United

						","Hyundai A-League R11","McDonald Jones Stadium","7,332","
						Hyundai A-League R11
						McDonald Jones Stadium
					","Hyundai A-League R11","McDonald Jones Stadium","2015-12-18T08:40:00+00:00","
							Attendance
							7,332
						","Attendance","7,332","15/16"
"319","
						Wellington Phoenix

						","
						Sydney FC

						","Hyundai A-League R11","Westpac Stadium","10,027","
						Hyundai A-League R11
						Westpac Stadium
					","Hyundai A-League R11","Westpac Stadium","2015-12-19T06:15:00+00:00","
							Attendance
							10,027
						","Attendance","10,027","15/16"
"320","
						Melbourne City FC

						","
						Melbourne Victory

						","Hyundai A-League R11","AAMI Park","23,572","
						Hyundai A-League R11
						AAMI Park
					","Hyundai A-League R11","AAMI Park","2015-12-19T08:30:00+00:00","
							Attendance
							23,572
						","Attendance","23,572","15/16"
"321","
						Central Coast Mariners

						","
						Brisbane Roar FC

						","Hyundai A-League R11","Central Coast Stadium","5,124","
						Hyundai A-League R11
						Central Coast Stadium
					","Hyundai A-League R11","Central Coast Stadium","2015-12-20T06:00:00+00:00","
							Attendance
							5,124
						","Attendance","5,124","15/16"
"322","
						Western Sydney Wanderers FC

						","
						Newcastle Jets

						","Hyundai A-League R12","Pirtek Stadium","10,141","
						Hyundai A-League R12
						Pirtek Stadium
					","Hyundai A-League R12","Pirtek Stadium","2015-12-24T08:00:00+00:00","
							Attendance
							10,141
						","Attendance","10,141","15/16"
"323","
						Adelaide United

						","
						Wellington Phoenix

						","Hyundai A-League R12","Coopers Stadium","11,655","
						Hyundai A-League R12
						Coopers Stadium
					","Hyundai A-League R12","Coopers Stadium","2015-12-26T06:15:00+00:00","
							Attendance
							11,655
						","Attendance","11,655","15/16"
"324","
						Sydney FC

						","
						Central Coast Mariners

						","Hyundai A-League R12","Allianz Stadium","12,648","
						Hyundai A-League R12
						Allianz Stadium
					","Hyundai A-League R12","Allianz Stadium","2015-12-26T08:30:00+00:00","
							Attendance
							12,648
						","Attendance","12,648","15/16"
"325","
						Melbourne Victory

						","
						Perth Glory

						","Hyundai A-League R12","AAMI Park","22,544","
						Hyundai A-League R12
						AAMI Park
					","Hyundai A-League R12","AAMI Park","2015-12-27T06:00:00+00:00","
							Attendance
							22,544
						","Attendance","22,544","15/16"
"326","
						Brisbane Roar FC

						","
						Melbourne City FC

						","Hyundai A-League R12","Suncorp Stadium","16,435","
						Hyundai A-League R12
						Suncorp Stadium
					","Hyundai A-League R12","Suncorp Stadium","2015-12-27T08:00:00+00:00","
							Attendance
							16,435
						","Attendance","16,435","15/16"
"327","
						Central Coast Mariners

						","
						Wellington Phoenix

						","Hyundai A-League R13","Central Coast Stadium","10,073","
						Hyundai A-League R13
						Central Coast Stadium
					","Hyundai A-League R13","Central Coast Stadium","2015-12-31T08:00:00+00:00","
							Attendance
							10,073
						","Attendance","10,073","15/16"
"328","
						Western Sydney Wanderers FC

						","
						Adelaide United

						","Hyundai A-League R13","Pirtek Stadium","16,312","
						Hyundai A-League R13
						Pirtek Stadium
					","Hyundai A-League R13","Pirtek Stadium","2016-01-01T08:40:00+00:00","
							Attendance
							16,312
						","Attendance","16,312","15/16"
"329","
						Brisbane Roar FC

						","
						Perth Glory

						","Hyundai A-League R13","Suncorp Stadium","17,696","
						Hyundai A-League R13
						Suncorp Stadium
					","Hyundai A-League R13","Suncorp Stadium","2016-01-02T06:15:00+00:00","
							Attendance
							17,696
						","Attendance","17,696","15/16"
"330","
						Melbourne City FC

						","
						Sydney FC

						","Hyundai A-League R13","AAMI Park","10,140","
						Hyundai A-League R13
						AAMI Park
					","Hyundai A-League R13","AAMI Park","2016-01-02T08:30:00+00:00","
							Attendance
							10,140
						","Attendance","10,140","15/16"
"331","
						Newcastle Jets

						","
						Melbourne Victory

						","Hyundai A-League R13","McDonald Jones Stadium","8,864","
						Hyundai A-League R13
						McDonald Jones Stadium
					","Hyundai A-League R13","McDonald Jones Stadium","2016-01-03T06:00:00+00:00","
							Attendance
							8,864
						","Attendance","8,864","15/16"
"332","
						Central Coast Mariners

						","
						Melbourne Victory

						","Hyundai A-League R14","GMHBA Stadium","14,268","
						Hyundai A-League R14
						GMHBA Stadium
					","Hyundai A-League R14","GMHBA Stadium","2016-01-08T08:40:00+00:00","
							Attendance
							14,268
						","Attendance","14,268","15/16"
"333","
						Sydney FC

						","
						Newcastle Jets

						","Hyundai A-League R14","ANZ Stadium","15,127","
						Hyundai A-League R14
						ANZ Stadium
					","Hyundai A-League R14","ANZ Stadium","2016-01-09T06:15:00+00:00","
							Attendance
							15,127
						","Attendance","15,127","15/16"
"334","
						Melbourne City FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R14","AAMI Park","9,776","
						Hyundai A-League R14
						AAMI Park
					","Hyundai A-League R14","AAMI Park","2016-01-09T08:30:00+00:00","
							Attendance
							9,776
						","Attendance","9,776","15/16"
